trip_id,bus_id,departure_time
BUS01_20260201_0600,BUS01,2026-02-01 06:00:00
BUS01_20260201_0620,BUS01,2026-02-01 06:20:00
BUS01_20260201_0640,BUS01,2026-02-01 06:40:00
BUS01_20260201_0700,BUS01,2026-02-01 07:00:00
BUS01_20260201_0720,BUS01,2026-02-01 07:20:00
BUS01_20260201_0740,BUS01,2026-02-01 07:40:00
BUS01_20260201_0800,BUS01,2026-02-01 08:00:00
BUS01_20260201_0820,BUS01,2026-02-01 08:20:00
BUS01_20260201_0840,BUS01,2026-02-01 08:40:00
BUS01_20260201_0900,BUS01,2026-02-01 09:00:00
BUS01_20260201_0920,BUS01,2026-02-01 09:20:00
BUS01_20260201_0940,BUS01,2026-02-01 09:40:00
BUS01_20260201_1000,BUS01,2026-02-01 10:00:00
BUS01_20260201_1020,BUS01,2026-02-01 10:20:00
BUS01_20260201_1040,BUS01,2026-02-01 10:40:00
BUS01_20260201_1100,BUS01,2026-02-01 11:00:00
BUS01_20260201_1120,BUS01,2026-02-01 11:20:00
BUS01_20260201_1140,BUS01,2026-02-01 11:40:00
BUS01_20260201_1200,BUS01,2026-02-01 12:00:00
BUS01_20260201_1220,BUS01,2026-02-01 12:20:00
BUS01_20260201_1240,BUS01,2026-02-01 12:40:00
BUS01_20260201_1300,BUS01,2026-02-01 13:00:00
BUS01_20260201_1320,BUS01,2026-02-01 13:20:00
BUS01_20260201_1340,BUS01,2026-02-01 13:40:00
BUS01_20260201_1400,BUS01,2026-02-01 14:00:00
BUS01_20260201_1420,BUS01,2026-02-01 14:20:00
BUS01_20260201_1440,BUS01,2026-02-01 14:40:00
BUS01_20260201_1500,BUS01,2026-02-01 15:00:00
BUS01_20260201_1520,BUS01,2026-02-01 15:20:00
BUS01_20260201_1540,BUS01,2026-02-01 15:40:00
BUS01_20260201_1600,BUS01,2026-02-01 16:00:00
BUS01_20260201_1620,BUS01,2026-02-01 16:20:00
BUS01_20260201_1640,BUS01,2026-02-01 16:40:00
BUS01_20260201_1700,BUS01,2026-02-01 17:00:00
BUS01_20260201_1720,BUS01,2026-02-01 17:20:00
BUS01_20260201_1740,BUS01,2026-02-01 17:40:00
BUS01_20260201_1800,BUS01,2026-02-01 18:00:00
BUS01_20260201_1820,BUS01,2026-02-01 18:20:00
BUS01_20260201_1840,BUS01,2026-02-01 18:40:00
BUS01_20260201_1900,BUS01,2026-02-01 19:00:00
BUS01_20260201_1920,BUS01,2026-02-01 19:20:00
BUS01_20260201_1940,BUS01,2026-02-01 19:40:00
BUS01_20260201_2000,BUS01,2026-02-01 20:00:00
